"id";"siglaPartido";"nome";"codOcorrencia";"tituloOcorrencia";"dataOcorrencia";"idPartidoDestino";"siglaPartidoDestino";"descricaoOcorrencia";
36792;"PHDBS";"Partido Humanista Democrático Brasil Solidariedade";3;"Alteração Nome";"2000-01-09";36793;"PHS";"Data de convenção que decidiu pelo nome PHS";
36793;"PHS";"Partido Humanista Solidariedade";1;"Criação";"2000-01-09";36793;"PHS";"Data de convenção do então PHDBS que decidiu pela troca de nome";
36793;"PHS";"Partido Humanista Solidariedade";5;"Incorporação";"2019-09-19";36896;"PODE";"Data da decisão do TSE";
36865;"PIAD";"Partido Industrial Agrícola Democrata";1;"Criação";"1945-10-02 00:00:00.000";36865;"PIAD";"Registro provisório pela Resolução TSE 216";
36865;"PIAD";"Partido Industrial Agrícola Democrata";2;"Extinção";"1948-05-04 00:00:00.000";36865;"PIAD";"Cancelamento de registro provisório pela Resolução TSE 2867";
36794;"PJ";"Partido da Juventude";1;"Criação";"1985-07-11";36794;"PJ";"Data de criação extraoficial. A EC 25 permitiu o registro para as eleições de 1985.";
36794;"PJ";"Partido da Juventude";3;"Alteração Nome";"1989-02-22";36822;"PRN";"Data aproximada. Troca de nome ocorreu após entrada de Fernando Collor em fevereiro de 1989.";
37906;"PL";"Partido Liberal";1;"Criação";"2019-05-22 17:05:00.000";37906;"PL";;
36795;"PL*";"Partido Liberal";1;"Criação";"1985-01-01 00:00:00.000";36795;"PL*";;
36795;"PL*";"Partido Liberal";4;"Fusão";"2007-01-25 00:00:00.000";36814;"PR";;
36866;"PL**";"Partido Libertador";1;"Criação";"1945-11-10 00:00:00";36866;"PL**";"Data de registro no TSE";
36866;"PL**";"Partido Libertador";2;"Extinção";"1965-10-27 00:00:00.000";;;"Extinto pelo AI-2 (art. 18)";
;"PL***";"Partido Libertador";1;"Criação";"1928-01-01 00:00:00";;"PL***";"Data aproximada";
;"PL***";"Partido Libertador";2;"Extinção";"1937-12-02 00:00:00";;;"Extinto pelo Dec. 37/1937";
36796;"PLC";"Partido Liberal Catarinense";2;"Extinção";;36796;"PLC";;
36867;"PLIC";"Partido da Lavoura, Indústria e Comércio";1;"Criação";"1945-09-18 00:00:00.000";36867;"PLIC";"Registro provisório pela Resolução TSE 197";
36867;"PLIC";"Partido da Lavoura, Indústria e Comércio";2;"Extinção";"1948-05-13 00:00:00.000";36867;"PLIC";"Cancelamento de registro provisório pela Resolução TSE 2894";
36868;"PLP";"Partido Liberal Progressista";1;"Criação";;36868;"PLP";;
