idTabela;codTipoOrgao;codOrgao;txtNome;txtSigla;datCriacao;datExtincao;docCriacao;urlDocCriacao;codProposicao
;2;;Comissão de Constituição e Justiça e de Redação;;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;;Comissão de Defesa do Consumidor e do Meio Ambiente;;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;200;Comissão de Defesa Nacional;CDN;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;242;Comissão de Desenvolvimento Urbano, Interior e Índio;CDUII;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;;Comissão de Economia, Indústria e Comércio;;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;244;Comissão de Educação, Cultura, Esporte e Turismo;CECET;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;335;Comissão de Finanças;CFFC;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;101;Comissão de Fiscalização e Controle;CFC;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;;Comissão de Minas e Energia;;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;;Comissão de Relações Exteriores;;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;233;Comissão de Saúde, Previdência e Assistência Social;CSPAS;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;235;Comissão de Serviço Público;CSP;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;;Comissão de Trabalho, de Administração e Serviço Público;;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;338;Comissão de Transportes;CT;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;;Comissão de Fiscalização e Controle;;1986-10-03;1989-02-24;RES 34/1986;https://www2.camara.leg.br/legin/fed/rescad/1980-1987/resolucaodacamaradosdeputados-34-20-junho-1986-320300-publicacaooriginal-1-pl.html;237457
;2;;Comissão de Comunicação e Informática;;1985-11-21;1989-02-24;RES 55/1985;https://www2.camara.leg.br/legin/fed/rescad/1980-1987/resolucaodacamaradosdeputados-55-19-novembro-1985-320299-publicacaooriginal-1-pl.html;235675
;2;98;Comissão de Previdência e Assistência Social;CPAS;1985-08-22;1989-02-24;RES 30/1985;https://www2.camara.leg.br/legin/fed/rescad/1980-1987/resolucaodacamaradosdeputados-30-19-agosto-1985-320298-publicacaooriginal-1-pl.html;237448
;2;;Comissão de Trabalho;;1985-08-22;1989-02-24;RES 30/1985;https://www2.camara.leg.br/legin/fed/rescad/1980-1987/resolucaodacamaradosdeputados-30-19-agosto-1985-320298-publicacaooriginal-1-pl.html;237448
;2;;Comissão de Desenvolvimento Urbano;;1985-05-23;1989-02-24;RES 4/1985;https://www2.camara.leg.br/legin/fed/rescad/1980-1987/resolucaodacamaradosdeputados-4-23-maio-1985-320297-publicacaooriginal-1-pl.html;237442
;2;136;Comissão de Esporte e Turismo;CET;1983-05-21;1989-02-24;RES 16/1983;https://www2.camara.leg.br/legin/fed/rescad/1980-1987/resolucaodacamaradosdeputados-16-19-maio-1983-320293-publicacaooriginal-1-pl.html;235396
;2;240;Comissão do Índio;CIND;1983-05-06;1989-02-24;RES 15/1983;https://www2.camara.leg.br/legin/fed/rescad/1980-1987/resolucaodacamaradosdeputados-15-5-maio-1983-320292-publicacaooriginal-1-pl.html;235044
;2;;Comissão de Defesa do Consumidor;;1981-05-28;1989-02-24;RES 15/1981;https://www2.camara.leg.br/legin/fed/rescad/1980-1987/resolucaodacamaradosdeputados-15-25-maio-1981-320290-publicacaooriginal-1-pl.html;237174
;2;;Comissão de Comunicação;;1977-09-01;1985-11-20;RES 51/1977;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-51-30-agosto-1977-320280-publicacaooriginal-1-pl.html;236446
;2;;Comissão do Interior;;1977-09-01;1989-02-24;RES 51/1977;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-51-30-agosto-1977-320280-publicacaooriginal-1-pl.html;236446
;2;;Comissão de Agricultura e Política Rural;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;;Comissão de Ciência e Tecnologia;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;410;Comissão de Comunicações;;1972-12-01;1977-08-31;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;218;Comissão de Constituição e Justiça;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;;Comissão de Economia, Indústria e Comércio;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;;Comissão de Educação e Cultura;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;;Comissão de Finanças;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
